OBJECTID,Route_Number,Route_Name,Ridership_Total,Route_Hour,Route_Hour_Description,Route_Date
1273389,56,Dartmouth Crossing,7,17.50,5:30pm to 5:59pm,2017-12-26 10:00:00.0000000
1273390,57,Russell Lake,1,17.50,5:30pm to 5:59pm,2017-12-26 10:00:00.0000000
1273391,62,Wildwood,6,17.50,5:30pm to 5:59pm,2017-12-26 10:00:00.0000000
1273392,66,Penhorn,7,17.50,5:30pm to 5:59pm,2017-12-26 10:00:00.0000000
1273393,7,Robie,32,17.50,5:30pm to 5:59pm,2017-12-26 10:00:00.0000000
1273394,58,Woodlawn,1,21.50,9:30pm to 9:59pm,2017-12-26 10:00:00.0000000
1273395,66,Penhorn,3,21.50,9:30pm to 9:59pm,2017-12-26 10:00:00.0000000
1273396,7,Robie,25,21.50,9:30pm to 9:59pm,2017-12-26 10:00:00.0000000
1273397,72,Portland Hills,6,21.50,9:30pm to 9:59pm,2017-12-26 10:00:00.0000000
1184076,330,Tantallon - Sheldrake Lak,43,7.00,7:00am to 7:29am,2017-10-26 10:00:00.0000000
1184077,35,Parkland Express,41,7.00,7:00am to 7:29am,2017-10-26 10:00:00.0000000
1184078,400,Beaver Bank,12,7.00,7:00am to 7:29am,2017-10-26 10:00:00.0000000
1184079,41,Dartmouth - Dalhousie,8,7.00,7:00am to 7:29am,2017-10-26 10:00:00.0000000
1184080,42,Lacewood - Dalhousie,16,7.00,7:00am to 7:29am,2017-10-26 10:00:00.0000000
1184081,52,Crosstown,340,7.00,7:00am to 7:29am,2017-10-26 10:00:00.0000000
1184082,56,Dartmouth Crossing,20,7.00,7:00am to 7:29am,2017-10-26 10:00:00.0000000
1184083,57,Russell Lake,19,7.00,7:00am to 7:29am,2017-10-26 10:00:00.0000000
1184084,61,Auburn - North Preston,165,7.00,7:00am to 7:29am,2017-10-26 10:00:00.0000000
1184085,62,Wildwood,39,7.00,7:00am to 7:29am,2017-10-26 10:00:00.0000000
